Symbol,Timestamp,Current_Price (LTP),Open,High,Low,Previous_Close,Day_Change,Day_Change_Perc,Volume,52W_High,52W_Low,Upper_Circuit,Lower_Circuit
HDFCBANK,2026-03-28 16:04:25,756.2,773.2,774.9,754.55,782.3,-26.09999999999991,-3.336315991307671,65485199,1020.5,741.05,831.8,680.6
BHARTIARTL,2026-03-28 16:04:25,1843.9,1839.9,1856.9,1818.4,1834.9,9.0,0.49048994495612835,24490425,2174.5,1660.0,2028.2,1659.6
RELIANCE,2026-03-28 16:04:25,1348.1,1401.0,1404.7,1345.0,1413.1,-65.0,-4.599816007359706,23266517,1611.8,1114.85,1482.9,1213.3
ICICIBANK,2026-03-28 16:04:25,1233.8,1256.0,1260.9,1230.1,1259.7,-25.90000000000009,-2.0560450901008247,23630905,1500.0,1218.1,1357.1,1110.5
SBIN,2026-03-28 16:04:25,1019.5,1051.3,1055.3,1013.0,1060.6,-41.09999999999991,-3.875165000942854,20445349,1234.7,730.0,1121.4,917.6
ONGC,2026-03-28 16:04:25,281.95,270.5,285.0,269.7,270.2,11.75,4.348630643967431,60048871,293.0,205.0,310.1,253.8
INFY,2026-03-28 16:04:25,1269.7,1285.2,1294.8,1263.2,1279.1,-9.399999999999864,-0.7348917207411355,13092541,1728.0,1215.1,1396.6,1142.8
LT,2026-03-28 16:04:25,3564.1,3640.0,3640.0,3547.0,3649.3,-85.20000000000027,-2.334694324939037,3991388,4440.0,2965.3,3920.5,3207.7
HCLTECH,2026-03-28 16:04:25,1364.4,1377.0,1407.4,1359.8,1381.3,-16.899999999999864,-1.2234851227104804,8956139,1780.1,1297.7,1500.8,1228.0
TCS,2026-03-28 16:04:25,2389.8,2403.9,2422.1,2385.0,2377.4,12.400000000000091,0.5215781946664462,4979411,3710.0,2348.0,2628.7,2150.9
AXISBANK,2026-03-28 16:04:25,1205.2,1209.5,1213.5,1202.0,1222.1,-16.899999999999864,-1.38286555928319,9479301,1418.3,1032.35,1325.7,1084.7
SHRIRAMFIN,2026-03-28 16:04:25,903.8,950.0,951.0,900.0,956.0,-52.200000000000045,-5.4602510460251095,12238678,1108.0,566.5,994.1,813.5
KOTAKBANK,2026-03-28 16:04:25,366.15,367.55,368.85,362.5,371.1,-4.9500000000000455,-1.3338722716249112,28928069,460.38,355.25,402.75,329.55
M&M,2026-03-28 16:04:25,3041.3,3100.0,3105.2,3030.0,3128.1,-86.79999999999973,-2.7748473514273755,3155168,3839.9,2425.0,3345.4,2737.2
MARUTI,2026-03-28 16:04:25,12389.0,12626.0,12646.0,12342.0,12711.0,-322.0,-2.533238926913697,775339,17370.0,11059.45,13627.0,11151.0
BAJFINANCE,2026-03-28 16:04:25,843.8,875.0,875.15,841.25,882.75,-38.950000000000045,-4.412347776833763,11282824,1102.5,787.9,928.15,759.45
ETERNAL,2026-03-28 16:04:25,233.17,237.55,239.14,232.4,242.18,-9.01000000000002,-3.7203732760756543,38767229,368.45,194.8,256.48,209.86
BEL,2026-03-28 16:04:25,404.75,411.9,413.45,403.25,413.45,-8.699999999999989,-2.104244769621475,21818224,473.45,256.2,445.2,364.3
POWERGRID,2026-03-28 16:04:25,295.5,294.45,297.3,290.3,295.0,0.5,0.1694915254237288,27444747,322.0,250.0,325.05,265.95
COALINDIA,2026-03-28 16:04:25,445.05,446.0,448.5,441.05,443.7,1.3500000000000227,0.30425963488844326,17184280,476.0,356.0,489.55,400.55
NTPC,2026-03-28 16:04:25,375.65,379.9,379.9,374.65,378.4,-2.75,-0.7267441860465117,20263654,394.5,315.55,413.2,338.1
TATASTEEL,2026-03-28 16:04:25,193.22,194.32,195.5,192.64,196.65,-3.430000000000007,-1.7442156114925027,36938046,216.45,125.3,212.54,173.9
INDIGO,2026-03-28 16:04:25,4099.5,4251.0,4251.0,4091.6,4294.7,-195.19999999999982,-4.545137029361768,1693708,6232.5,3895.2,4509.4,3689.6
ITC,2026-03-28 16:04:25,294.7,294.7,296.85,291.55,295.7,-1.0,-0.3381805884342239,22179022,444.2,288.75,324.15,265.25
GRASIM,2026-03-28 16:04:25,2628.2,2651.0,2655.0,2604.6,2647.8,-19.600000000000364,-0.7402371780346084,2406056,2979.0,2465.5,2891.0,2365.4
HINDUNILVR,2026-03-28 16:04:25,2074.4,2123.3,2127.0,2069.5,2134.8,-60.40000000000009,-2.829304852913626,2789151,2705.09,2033.3,2281.8,1867.0
TMPV,2026-03-28 16:04:25,303.2,312.5,312.85,301.05,317.95,-14.75,-4.6390941972008175,19009638,450.4,303.5,333.5,272.9
SUNPHARMA,2026-03-28 16:04:25,1793.6,1785.0,1819.0,1785.0,1795.4,-1.800000000000182,-0.1002562103152602,2975423,1851.2,1548.0,1972.9,1614.3
WIPRO,2026-03-28 16:04:25,191.6,189.05,192.29,187.9,189.05,2.549999999999983,1.3488495107114429,26269256,274.7,187.0,210.76,172.44
ADANIENT,2026-03-28 16:04:25,1823.0,1880.0,1883.2,1816.5,1886.6,-63.59999999999991,-3.3711438566733762,2585257,2612.78,1813.7,2005.3,1640.7
ULTRACEMCO,2026-03-28 16:04:25,11049.0,11174.0,11174.0,10970.0,11204.0,-155.0,-1.3834344876829703,418469,13110.0,10325.0,12153.0,9945.0
JIOFIN,2026-03-28 16:04:25,232.55,236.0,236.5,231.55,237.35,-4.799999999999983,-2.022329892563717,19784233,338.6,203.1,255.8,209.3
TRENT,2026-03-28 16:04:25,3399.6,3451.0,3505.9,3373.6,3478.9,-79.30000000000018,-2.279456149932455,1288297,6261.0,3340.3,3739.5,3059.7
BAJAJFINSV,2026-03-28 16:04:25,1694.7,1738.6,1738.6,1680.1,1746.2,-51.5,-2.9492612530065285,2522237,2195.0,1662.7,1864.1,1525.3
TITAN,2026-03-28 16:04:25,3981.5,4000.0,4032.8,3972.0,4039.3,-57.80000000000018,-1.4309410046295195,1040658,4378.4,2925.0,4379.6,3583.4
APOLLOHOSP,2026-03-28 16:04:25,7549.0,7510.0,7621.0,7510.0,7580.5,-31.5,-0.4155398720401029,533512,8099.5,6430.25,8303.5,6794.5
EICHERMOT,2026-03-28 16:04:25,6811.5,6915.0,6916.5,6742.0,6992.5,-181.0,-2.5884876653557383,533428,8230.0,4999.95,7492.5,6130.5
TECHM,2026-03-28 16:04:25,1391.6,1395.0,1421.0,1385.5,1408.5,-16.90000000000009,-1.1998580049698324,2584016,1854.0,1209.4,1530.7,1252.5
ADANIPORTS,2026-03-28 16:04:25,1337.8,1375.0,1375.0,1330.1,1375.9,-38.100000000000136,-2.7690965913220533,2667313,1584.0,1041.5,1471.5,1204.1
HINDALCO,2026-03-28 16:04:25,866.7,860.0,872.95,854.75,868.65,-1.9499999999999318,-0.2244862718010628,4104597,1029.8,546.45,953.35,780.05
JSWSTEEL,2026-03-28 16:04:25,1130.3,1150.0,1150.8,1126.9,1156.0,-25.700000000000045,-2.223183391003464,2750813,1284.7,905.2,1243.3,1017.3
BAJAJ-AUTO,2026-03-28 16:04:25,8901.0,8971.5,9004.0,8840.0,9048.5,-147.5,-1.630104437199536,326675,10187.0,7089.35,9791.0,8011.0
DRREDDY,2026-03-28 16:04:25,1281.7,1297.0,1302.9,1278.2,1300.7,-19.0,-1.4607519028215576,2165113,1379.7,1020.0,1409.8,1153.6
CIPLA,2026-03-28 16:04:25,1242.3,1226.5,1249.2,1226.5,1244.4,-2.1000000000001364,-0.16875602700097528,2220695,1673.0,1216.6,1366.5,1118.1
HDFCLIFE,2026-03-28 16:04:25,610.2,605.0,612.45,600.0,612.9,-2.699999999999932,-0.44052863436122236,4422345,820.75,590.05,671.2,549.2
MAXHEALTH,2026-03-28 16:04:25,975.1,978.1,990.8,970.8,988.2,-13.100000000000023,-1.325642582473186,2557821,1314.3,933.8,1072.6,877.6
ASIANPAINT,2026-03-28 16:04:25,2207.4,2246.3,2269.0,2201.1,2270.2,-62.79999999999973,-2.7662760990221007,1089010,2985.7,2115.0,2428.1,1986.7
NESTLEIND,2026-03-28 16:04:25,1193.2,1204.1,1215.7,1188.3,1204.1,-10.899999999999864,-0.9052404285358246,2005121,1340.4,1074.0,1312.5,1073.9
SBILIFE,2026-03-28 16:04:25,1837.6,1835.2,1851.1,1828.9,1851.8,-14.200000000000045,-0.7668214710011905,1156884,2132.0,1430.55,2021.3,1653.9
TATACONSUM,2026-03-28 16:04:25,1048.5,1049.3,1057.5,1032.7,1056.1,-7.599999999999909,-0.7196288230281138,1815831,1220.9,952.5,1153.3,943.7
